Year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Canada,"4,213,817","4,608,012","4,944,467","5,309,981","5,551,730","5,796,496","6,123,913","6,782,024","6,994,819","7,059,959","7,642,641","8,123,930","8,662,696","9,314,968","9,733,801","10,618,682","11,951,893","14,063,875","16,254,282","15,725,928","16,897,178","19,040,892","20,626,896","21,374,899","21,967,827","20,869,140"
China,"818,320","724,632","546,830","373,888","1,083,604","2,633,265","2,078,765","1,604,223","1,339,651","853,734","1,716,127","1,938,690","2,067,762","5,016,684","5,542,444","5,233,180","6,712,161","8,314,192","12,114,772","13,109,278","17,563,710","18,897,566","25,859,457","25,498,854","24,219,479","20,204,881"
Mexico,"2,559,580","3,007,465","3,799,190","3,618,594","4,586,861","3,521,522","5,441,605","5,178,090","6,152,173","5,625,222","6,410,383","7,407,255","7,238,323","7,890,559","8,509,537","9,429,404","10,880,998","12,692,250","15,507,844","12,932,472","14,585,242","18,350,965","18,891,975","18,104,212","19,378,440","17,695,638"
Japan,"8,142,408","7,800,956","8,514,977","8,803,721","9,459,924","11,149,332","11,732,056","10,494,296","9,090,641","8,892,767","9,291,847","8,884,196","8,383,670","8,905,684","8,146,720","7,930,898","8,389,744","10,159,514","13,223,138","11,072,299","11,784,140","14,066,243","13,503,154","12,230,593","13,140,691","11,156,841"
"Korea, South","2,650,248","2,113,568","2,231,069","1,937,884","2,338,433","3,741,893","3,849,098","2,860,393","2,224,379","2,448,699","2,545,967","2,588,263","2,673,364","2,885,677","2,488,772","2,233,002","2,850,656","3,528,281","5,561,389","3,917,446","5,307,239","6,976,255","6,030,820","5,256,931","6,884,683","6,038,913"
Hong Kong,"702,470","773,802","867,177","884,131","1,241,262","1,502,837","1,490,758","1,714,600","1,490,286","1,209,282","1,264,362","1,227,646","1,091,196","1,113,852","912,540","871,908","976,773","1,167,797","1,714,562","2,008,298","2,803,392","3,314,874","3,412,858","3,851,765","4,088,631","3,582,382"
Taiwan,"1,662,682","1,901,976","1,927,393","2,020,862","2,145,135","2,590,818","2,962,739","2,612,142","1,798,174","1,945,129","1,995,801","2,009,901","1,966,149","2,024,978","2,065,283","2,301,101","2,476,752","3,096,675","3,419,412","2,987,919","3,190,064","3,612,418","3,210,422","3,081,085","3,493,161","3,167,293"
Colombia,"119,898","127,167","221,535","226,299","303,593","464,389","620,014","538,117","575,766","440,779","416,906","452,566","520,749","512,833","593,757","679,523","868,125","1,222,874","1,675,293","907,202","833,585","1,123,396","1,100,053","1,514,834","2,460,466","2,420,677"
Netherlands,"1,585,242","1,699,461","1,860,340","1,676,826","1,700,632","2,067,323","2,050,474","1,925,559","1,552,399","1,532,878","1,442,625","1,368,497","1,173,279","1,122,427","1,096,736","1,124,078","1,614,229","1,482,532","1,738,940","1,243,674","1,426,889","1,901,287","1,701,166","1,971,142","2,371,113","2,395,501"
Philippines,"381,227","374,421","525,481","484,061","576,820","764,889","891,377","873,259","717,037","783,397","901,150","793,579","775,755","625,795","695,212","797,641","887,720","1,112,212","1,734,346","1,293,689","1,634,858","2,113,185","2,377,430","2,509,934","2,734,320","2,318,776"
Vietnam,845,0,0,0,"17,139","23,350","33,423","40,758","21,084","31,424","51,943","79,462","76,773","97,619","159,308","192,320","215,950","494,150","906,094","921,950","1,312,216","1,644,631","1,653,282","2,154,114","2,321,157","2,239,843"
Germany(*),"1,160,208","1,080,475","1,165,284","1,060,235","1,054,937","1,211,384","1,453,481","1,312,912","1,214,376","922,959","908,015","923,428","970,993","1,017,509","1,156,229","1,059,656","1,012,090","1,362,166","1,888,366","1,342,179","1,562,383","1,498,771","2,096,154","2,225,110","2,139,833","2,232,940"
Indonesia,"274,513","301,430","344,153","346,896","483,356","816,313","849,579","772,313","458,704","530,741","667,763","906,851","809,575","996,033","925,106","958,079","1,102,471","1,541,662","2,194,977","1,795,794","2,245,523","2,813,692","2,497,040","2,823,239","2,912,630","2,192,259"
United Kingdom,"812,813","821,462","895,545","922,479","929,400","1,041,407","1,205,493","1,297,184","1,245,997","1,079,607","1,036,445","1,062,959","1,006,313","1,038,323","1,161,863","1,160,021","1,255,753","1,320,765","1,377,518","1,170,388","1,338,318","1,424,983","1,505,535","1,638,216","1,708,984","1,778,233"
Thailand,"274,973","289,521","316,912","304,781","386,224","590,417","576,805","537,550","412,744","409,071","493,031","570,019","610,738","683,842","685,512","674,663","703,125","884,912","1,063,322","1,045,913","1,151,891","1,346,320","1,488,030","1,410,317","1,629,031","1,706,216"
Spain,"931,538","927,171","934,242","763,067","846,150","1,165,995","1,063,727","1,137,729","1,037,392","681,324","608,672","644,073","673,825","847,443","775,379","715,146","667,367","1,115,003","1,272,291","755,526","1,056,997","1,179,332","1,256,120","1,642,979","1,819,820","1,657,741"
Australia(*),"226,201","282,753","273,516","332,244","409,311","338,714","322,184","353,354","329,620","319,654","317,144","291,671","338,870","412,067","410,215","462,980","519,613","662,048","825,720","840,433","929,291","1,157,598","1,259,436","1,384,433","1,533,921","1,413,829"
Turkey,"225,660","212,975","375,013","379,244","265,162","515,514","613,467","726,666","659,018","501,575","658,122","571,333","674,771","921,249","943,752","1,062,370","1,030,311","1,495,607","1,695,608","1,499,310","2,088,483","2,449,077","1,991,901","2,158,121","2,133,850","1,357,630"
Saudi Arabia,"481,716","501,370","461,671","448,251","462,852","516,993","554,677","614,826","504,849","447,169","477,248","429,065","342,860","331,991","364,263","350,275","425,646","710,069","889,865","693,857","839,651","1,308,183","1,186,857","1,155,416","1,346,485","1,282,010"
United Arab Emirates,"45,856","70,573","71,637","93,650","109,695","156,627","120,950","109,470","185,327","183,478","234,947","284,935","281,514","258,974","350,519","281,768","341,469","460,846","579,680","771,172","857,893","970,352","1,026,489","1,230,382","1,232,644","1,265,693"
India,"107,882","102,735","146,746","217,335","120,849","193,583","112,158","154,127","209,572","145,202","209,944","352,601","274,084","317,247","256,922","294,711","365,389","475,253","488,620","691,314","751,341","724,012","882,155","864,632","1,018,582","1,188,878"
Dominican Republic,"246,422","243,392","253,022","289,621","275,584","362,124","408,512","524,978","493,757","551,933","506,381","497,993","513,378","445,038","462,085","517,996","629,008","778,506","1,041,079","884,339","1,026,235","1,189,498","1,054,441","1,104,052","1,291,809","1,132,060"
Guatemala,"100,856","115,816","114,192","183,494","193,156","222,066","250,048","232,719","280,631","252,960","258,298","294,677","341,904","349,078","383,373","455,343","547,298","676,626","834,549","685,902","799,933","1,033,823","973,650","951,632","1,123,156","1,073,218"
Peru,"160,175","160,945","170,277","195,249","207,365","298,462","308,718","192,469","362,349","290,640","170,316","212,518","213,871","237,035","302,618","212,560","208,812","437,719","424,479","518,351","757,176","843,815","546,947","718,214","1,212,882","1,063,629"
